CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attr1,NB_Attr2,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Total_Interaction,Spending_Ratio,Transaction_Frequency
768805383,0,45,0,3,2.0,3.0,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991,True,False,False,False,False,False,4,0.09013551843681059,1.05
818770008,0,49,1,5,4.0,1.0,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,5.6861e-05,0.99994,False,True,False,False,False,False,3,0.15635218602397966,0.7333333333333333
713982108,0,51,0,3,4.0,4.0,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2.1081e-05,0.99998,True,False,False,False,False,False,1,0.5519157648435215,0.5405405405405406
769911858,0,40,1,4,2.0,1.0,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.00013366,0.99987,False,False,True,False,False,False,5,0.35334942667471336,0.5714285714285714
709106358,0,40,0,3,1.0,3.0,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2.1676e-05,0.99998,True,False,False,False,False,False,1,0.17299130803476787,1.2727272727272727
713061558,0,44,0,2,4.0,2.0,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994,True,False,False,False,False,False,3,0.2712540513587634,0.6486486486486487
810347208,0,51,0,4,0.0,5.0,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.00012303,0.99988,True,False,False,True,False,False,4,0.038531737984181705,0.6595744680851063
818906208,0,32,0,0,2.0,3.0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,8.5795e-05,0.99991,False,False,True,False,False,True,4,0.05288494601471701,1.2857142857142858
710930508,0,37,0,3,1.0,3.0,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,4.4796e-05,0.99996,False,True,False,False,False,False,2,0.0603945779090055,0.6486486486486487
719661558,0,48,0,2,4.0,4.0,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.00030251,0.9997,False,True,False,False,False,False,6,0.12361671098910526,0.8648648648648649
